Rank,Temperature,Category1,Category2,Name,Short Name,Size,Calories,Calories_Modified,Sugars (g),Image,Dietary Fibre (g),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Protein (g),Caffeine (mg)
13,Hot,Hot Teas,Green Teas,Honey Citrus Mint Tea,,Grande,130,130,30,https://globalassets.starbucks.com/assets/a5e64777b3cc412e9239b8a37328cb37.jpg,,,,,,,,,
11,Hot,Hot Teas,Green Teas,Jade Citrus Mint® Brewed Tea,,Grande,0,132.5,0,https://globalassets.starbucks.com/assets/6a59c09bb55c42f8a6a970e73c22caeb.jpg,,,,,,,,,
8,Hot,Hot Teas,Green Teas,Matcha Green Tea Latte,Matcha Green Tea Latte,Grande,240,135,32,https://globalassets.starbucks.com/assets/8b1b6d808cca4787afd2b30cf8dd5676.jpg,,,,,,,,,
,Hot,Hot Teas,Herbal Teas,Comfort Brewed Wellness Tea,,Grande,0,137.5,0,https://globalassets.starbucks.com/assets/74588adfe54a410997948fb219f1352f.jpg,,,,,,,,,
,Hot,Hot Teas,Herbal Teas,Mint Majesty®,,Grande,0,140,0,https://globalassets.starbucks.com/assets/cf7469c84a444e4f9a341f8023558c77.jpg,,,,,,,,,
,Hot,Hot Teas,Herbal Teas,Peach Tranquility®,,Grande,0,142.5,0,https://globalassets.starbucks.com/assets/f3ecda7d7510434c9ed2b3167dcb4466.jpg,,,,,,,,,
,Hot,Hot Teas,White Teas,Defense Brewed Wellness Tea,,Grande,10,145,0,https://globalassets.starbucks.com/assets/c2b479d17ec04635bdd0cf80ff7754e1.jpg,,,,,,,,,
,Cold,Iced Teas,Iced Black Teas,Iced Black Tea,,Grande,45,45,11,https://globalassets.starbucks.com/assets/b87b4ec73da2443d9e505319ac46168b.jpg,,,,,,,,,
,Cold,Iced Teas,Iced Black Teas,Iced Black Tea Lemonade,,Grande,90,90,22,https://globalassets.starbucks.com/assets/818612edc424442d956c81343f6a00d0.jpg,,,,,,,,,
,Cold,Iced Teas,Iced Black Teas,Iced London Fog Tea Latte,London Fog Tea Latte,Grande,140,140,25,https://globalassets.starbucks.com/assets/9e0d704b717d4126804e18fffb341087.jpg,,,,,,,,,
,Cold,Iced Teas,Iced Black Teas,Iced Royal English Breakfast Tea Latte,Royal English Breakfast Tea Latte,Grande,140,142.5,25,https://globalassets.starbucks.com/assets/9cce6d52c029474bb861d72bca0a65b3.jpg,,,,,,,,,
,Cold,Iced Teas,Iced Chai Teas,Iced Chai Tea Latte,,Grande,240,240,42,https://globalassets.starbucks.com/assets/7b51b01b4a394a829ff9df4ef9f3be3c.jpg,,,,,,,,,
12,Cold,Iced Teas,Iced Green Teas,Iced Green Tea,,Grande,45,242.5,11,https://globalassets.starbucks.com/assets/764d8822c2a345cd873127845a3b09f4.jpg,,,,,,,,,
,Cold,Iced Teas,Iced Green Teas,Iced Green Tea Lemonade,,Grande,90,245,22,https://globalassets.starbucks.com/assets/84d27419b3454046bd02683c02fa7736.jpg,,,,,,,,,
,Cold,Iced Teas,Iced Green Teas,Iced Matcha Green Tea Latte,Matcha Green Tea Latte,Grande,200,200,28,https://globalassets.starbucks.com/assets/21f5c9e19d614c7481c1a964e81d1bbc.jpg,,,,,,,,,
,Cold,Iced Teas,Iced Green Teas,Iced Peach Green Tea,,Grande,100,100,23,https://globalassets.starbucks.com/assets/8d4b5de7c32a447c89610f81cf2f86be.jpg,,,,,,,,,
4,Cold,Iced Teas,Iced Green Teas,Iced Peach Green Tea Lemonade,,Grande,130,130,29,https://globalassets.starbucks.com/assets/792d15369dc94014a9ad6e255dbb83cf.jpg,,,,,,,,,
,Cold,Iced Teas,Iced Green Teas,Matcha Lemonade,,Grande,120,120,27,https://globalassets.starbucks.com/assets/8cd203f920844ccc95dd514f8b0d4972.jpg,,,,,,,,,
,Cold,Iced Teas,Iced Herbal Teas,Iced Passion Tango® Tea Lemonade,,Grande,90,122.5,22,https://globalassets.starbucks.com/assets/569e49c5042e45eb8b16dc17aab2d482.jpg,,,,,,,,,
,Cold,Iced Teas,Iced Herbal Teas,Iced Passion Tango™ Tea,,Grande,45,125,11,https://globalassets.starbucks.com/assets/76893bb0e1574db5826dea6eb342da90.jpg,,,,,,,,,
29,Cold,Iced Teas,Iced White Teas,Iced Guava White Tea,,Grande,110,110,23,https://globalassets.starbucks.com/assets/6cf16e181a4e4d6ca50a5fa11bcef6b9.jpg,,,,,,,,,
,Cold,Iced Teas,Iced White Teas,Iced Guava White Tea Lemonade,,Grande,130,112.5,29,https://globalassets.starbucks.com/assets/0af7327441b244808d83146ee1f96088.jpg,,,,,,,,,
,Cold,Iced Teas,Iced White Teas,Iced White Tea,,Grande,45,115,11,https://globalassets.starbucks.com/assets/349127afbe87459985ae29dd31d1b096.jpg,,,,,,,,,
,Cold,Iced Teas,Iced White Teas,Iced White Tea Lemonade,,Grande,90,117.5,22,https://globalassets.starbucks.com/assets/b6cc9e481b5c4d7e8e768ddeb7aef12e.jpg,,,,,,,,,
