Beverage_category,Beverage,Notes,Image,Beverage_prep_size,Beverage_prep_milk,Is_default,Calories,Total Fat (g),Trans Fat (g),Saturated Fat (g),Sodium (mg),Total Carbohydrates (g),Cholesterol (mg),Dietary Fibre (g),Sugars (g),Protein (g),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV),Caffeine (mg)
Frappuccino® Blended Coffee,Mocha Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/fd4d97f22e8f476b874352258a3f0672.jpg,Venti,Whole Milk,,390,6,3.5,0.1,15,300,80,1,76,6,8%,0%,15%,10%,140
Frappuccino® Blended Coffee,Mocha Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/fd4d97f22e8f476b874352258a3f0672.jpg,Venti,Soymilk,,350,3,1,0,0,290,78,2,73,6,6%,0%,20%,20%,140
Frappuccino® Blended Coffee,Caramel Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/6ab7d70c4fff435faf090a2f1a6f30d5.jpg,Tall,Nonfat Milk,,180,0.1,0,0,0,160,42,0,41,3,4%,0%,10%,0%,70
Frappuccino® Blended Coffee,Caramel Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/6ab7d70c4fff435faf090a2f1a6f30d5.jpg,Tall,Whole Milk,,200,2.5,1.5,0.1,10,160,42,0,41,3,4%,0%,8%,0%,70
Frappuccino® Blended Coffee,Caramel Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/6ab7d70c4fff435faf090a2f1a6f30d5.jpg,Tall,Soymilk,,180,1.5,0.2,0,0,150,40,0,39,2,4%,0%,10%,4%,70
Frappuccino® Blended Coffee,Caramel Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/6ab7d70c4fff435faf090a2f1a6f30d5.jpg,Grande,Nonfat Milk,,280,0.1,0.1,0,0,220,60,0,59,4,6%,0%,10%,0%,100
Frappuccino® Blended Coffee,Caramel Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/6ab7d70c4fff435faf090a2f1a6f30d5.jpg,Grande,Whole Milk,Y,280,3.5,2,0.1,10,220,60,0,59,3,4%,0%,10%,0%,100
Frappuccino® Blended Coffee,Caramel Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/6ab7d70c4fff435faf090a2f1a6f30d5.jpg,Grande,Soymilk,,260,1.5,0.2,0,0,220,58,0,56,3,4%,0%,10%,6%,100
Frappuccino® Blended Coffee,Caramel Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/6ab7d70c4fff435faf090a2f1a6f30d5.jpg,Venti,Nonfat Milk,,330,0.1,0.1,0,5,290,78,0,77,5,10%,0%,15%,2%,130
Frappuccino® Blended Coffee,Caramel Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/6ab7d70c4fff435faf090a2f1a6f30d5.jpg,Venti,Whole Milk,,370,5,3,0.1,15,300,78,0,77,5,8%,0%,15%,2%,130
Frappuccino® Blended Coffee,Caramel Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/6ab7d70c4fff435faf090a2f1a6f30d5.jpg,Venti,Soymilk,,340,2.5,0.3,0,0,290,75,1,73,5,6%,0%,20%,8%,130
Frappuccino® Blended Coffee,Java Chip Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/87ab7a1c8b7b492cbc1d5c5d44e1007b.jpg,Tall,Nonfat Milk,,220,3,2,0,0,170,47,1,44,4,4%,0%,10%,20%,75
Frappuccino® Blended Coffee,Java Chip Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/87ab7a1c8b7b492cbc1d5c5d44e1007b.jpg,Tall,Whole Milk,,240,5,3.5,0.1,10,170,47,1,44,4,4%,0%,8%,20%,75
Frappuccino® Blended Coffee,Java Chip Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/87ab7a1c8b7b492cbc1d5c5d44e1007b.jpg,Tall,Soymilk,,220,4,2.5,0,0,170,45,1,42,3,4%,0%,10%,20%,75
Frappuccino® Blended Coffee,Java Chip Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/87ab7a1c8b7b492cbc1d5c5d44e1007b.jpg,Grande,Nonfat Milk,,310,4,3,0,0,250,67,2,62,5,6%,0%,10%,25%,110
Frappuccino® Blended Coffee,Java Chip Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/87ab7a1c8b7b492cbc1d5c5d44e1007b.jpg,Grande,Whole Milk,Y,340,7,5,0.1,10,250,67,2,62,5,4%,0%,10%,25%,110
Frappuccino® Blended Coffee,Java Chip Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/87ab7a1c8b7b492cbc1d5c5d44e1007b.jpg,Grande,Soymilk,,310,6,3.5,0,0,240,65,2,60,4,4%,0%,10%,30%,110
Frappuccino® Blended Coffee,Java Chip Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/87ab7a1c8b7b492cbc1d5c5d44e1007b.jpg,Venti,Nonfat Milk,,420,5,4,0,5,340,90,2,84,7,10%,0%,20%,35%,145
Frappuccino® Blended Coffee,Java Chip Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/87ab7a1c8b7b492cbc1d5c5d44e1007b.jpg,Venti,Whole Milk,,460,10,7,0.2,15,340,90,2,84,7,6%,0%,15%,35%,145
Frappuccino® Blended Coffee,Java Chip Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/87ab7a1c8b7b492cbc1d5c5d44e1007b.jpg,Venti,Soymilk,,430,8,4.5,0,0,330,88,3,80,6,6%,0%,20%,40%,145
Frappuccino® Light Blended Coffee,Coffee Frappuccino®,,https://globalassets.starbucks.com/assets/2cf55066b3ec4547b452aebffe0870cf.jpg,Tall,Nonfat Milk,,90,0.1,0,0,0,160,20,0,19,3,4%,0%,10%,0%,70
Frappuccino® Light Blended Coffee,Coffee Frappuccino®,,https://globalassets.starbucks.com/assets/2cf55066b3ec4547b452aebffe0870cf.jpg,Grande,Nonfat Milk,Y,120,0.1,0.1,0,0,210,26,0,26,3,6%,0%,10%,0%,95
Frappuccino® Light Blended Coffee,Coffee Frappuccino®,,https://globalassets.starbucks.com/assets/2cf55066b3ec4547b452aebffe0870cf.jpg,Venti,Nonfat Milk,,160,0.1,0.1,0,5,270,34,0,33,5,8%,0%,15%,2%,120
Frappuccino® Light Blended Coffee,Mocha Frappuccino®,,https://globalassets.starbucks.com/assets/fd4d97f22e8f476b874352258a3f0672.jpg,Tall,Nonfat Milk,,110,0.5,0.4,0,0,150,24,1,23,3,4%,0%,8%,6%,70
Frappuccino® Light Blended Coffee,Mocha Frappuccino®,,https://globalassets.starbucks.com/assets/fd4d97f22e8f476b874352258a3f0672.jpg,Grande,Nonfat Milk,Y,150,1,0.5,0,0,200,33,1,30,4,6%,0%,10%,8%,95
Frappuccino® Light Blended Coffee,Mocha Frappuccino®,,https://globalassets.starbucks.com/assets/fd4d97f22e8f476b874352258a3f0672.jpg,Venti,Nonfat Milk,,210,1,0.5,0,5,280,46,1,42,6,8%,0%,15%,10%,130
Frappuccino® Light Blended Coffee,Caramel Frappuccino®,,https://globalassets.starbucks.com/assets/6ab7d70c4fff435faf090a2f1a6f30d5.jpg,Tall,Nonfat Milk,,100,0.1,0,0,0,140,23,0,23,3,4%,0%,8%,0%,65
Frappuccino® Light Blended Coffee,Caramel Frappuccino®,,https://globalassets.starbucks.com/assets/6ab7d70c4fff435faf090a2f1a6f30d5.jpg,Grande,Nonfat Milk,Y,150,0.1,0.1,0,0,200,33,0,32,3,6%,0%,10%,0%,90
Frappuccino® Light Blended Coffee,Caramel Frappuccino®,,https://globalassets.starbucks.com/assets/6ab7d70c4fff435faf090a2f1a6f30d5.jpg,Venti,Nonfat Milk,,200,0.1,0.1,0,5,270,44,0,43,5,8%,0%,15%,2%,120
Frappuccino® Light Blended Coffee,Java Chip Frappuccino®,,https://globalassets.starbucks.com/assets/87ab7a1c8b7b492cbc1d5c5d44e1007b.jpg,Tall,Nonfat Milk,,150,3,2,0,0,170,30,1,27,4,4%,0%,10%,20%,70
Frappuccino® Light Blended Coffee,Java Chip Frappuccino®,,https://globalassets.starbucks.com/assets/87ab7a1c8b7b492cbc1d5c5d44e1007b.jpg,Grande,Nonfat Milk,Y,220,4,3,0,0,240,43,2,39,5,6%,0%,10%,25%,105
Frappuccino® Light Blended Coffee,Java Chip Frappuccino®,,https://globalassets.starbucks.com/assets/87ab7a1c8b7b492cbc1d5c5d44e1007b.jpg,Venti,Nonfat Milk,,290,5,4,0,5,320,58,2,52,7,8%,0%,15%,35%,165
Frappuccino® Blended Crème,Strawberries Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/d878ff7923b54881a4076de8a0269546.jpg,Tall,Nonfat Milk,,170,0.1,0.1,0,0,140,39,0,38,3,6%,6%,10%,2%,0
Frappuccino® Blended Crème,Strawberries Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/d878ff7923b54881a4076de8a0269546.jpg,Tall,Whole Milk,,190,3,1.5,0.1,10,140,38,0,37,3,4%,6%,10%,2%,0
Frappuccino® Blended Crème,Strawberries Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/d878ff7923b54881a4076de8a0269546.jpg,Tall,Soymilk,,170,1.5,0.2,0,0,135,37,1,35,3,4%,6%,10%,6%,0
Frappuccino® Blended Crème,Strawberries Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/d878ff7923b54881a4076de8a0269546.jpg,Grande,Nonfat Milk,,230,0.2,0.1,0,0,190,53,0,52,4,8%,6%,15%,4%,0
Frappuccino® Blended Crème,Strawberries Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/d878ff7923b54881a4076de8a0269546.jpg,Grande,Whole Milk,Y,260,4,2,0.1,10,190,53,0,52,4,6%,6%,15%,4%,0
Frappuccino® Blended Crème,Strawberries Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/d878ff7923b54881a4076de8a0269546.jpg,Grande,Soymilk,,240,2,0.2,0,0,180,51,1,49,3,4%,6%,15%,8%,0
Frappuccino® Blended Crème,Strawberries Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/d878ff7923b54881a4076de8a0269546.jpg,Venti,Nonfat Milk,,310,0.2,0.1,0,5,260,70,0,69,6,10%,8%,20%,4%,0
Frappuccino® Blended Crème,Strawberries Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/d878ff7923b54881a4076de8a0269546.jpg,Venti,Whole Milk,,350,6,3,0.2,15,260,70,0,68,6,8%,8%,20%,4%,0
Frappuccino® Blended Crème,Strawberries Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/d878ff7923b54881a4076de8a0269546.jpg,Venti,Soymilk,,320,3 2,0.4,0,0,250,67,1,64,5,6%,8%,20%,10%,0
Frappuccino® Blended Crème,Vanilla Bean Crème Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/b68fa7003557464a8abfaf3e04e2704b.jpg,Tall,Nonfat Milk,,170,0.1,0.1,0,0,160,39,0,38,4,6%,0%,10%,0%,0
Frappuccino® Blended Crème,Vanilla Bean Crème Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/b68fa7003557464a8abfaf3e04e2704b.jpg,Tall,Whole Milk,,200,3.5,2,0.1,10,160,39,0,38,3,6%,0%,10%,0%,0
Frappuccino® Blended Crème,Vanilla Bean Crème Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/b68fa7003557464a8abfaf3e04e2704b.jpg,Tall,Soymilk,,180,1.5,0.2,0,0,160,37,1,35,3,4%,0%,10%,6%,0
Frappuccino® Blended Crème,Vanilla Bean Crème Frappuccino®,Without Whipped Cream,https://globalassets.starbucks.com/assets/b68fa7003557464a8abfaf3e04e2704b.jpg,Grande,Nonfat Milk,Y,240,0.1,0.1,0,5,230,56,0,55,5,8%,0%,15%,0%,0
